"ValueClassification","Value","DescriptionClassification","Description","DeprecationDate"
"(U) ","ft³/d","(U) ","cubic foot per day",
"(U) ","ft³/°F","(U) ","cubic foot per degree Fahrenheit",
"(U) ","ft³/h","(U) ","cubic foot per hour",
"(U) ","ft³/min","(U) ","cubic foot per minute",
"(U) ","ft³/(min/ft²)","(U) ","cubic foot per minute per square foot",
"(U) ","ft³/psi","(U) ","cubic foot per psi",
"(U) ","hm³","(U) ","cubic hectometre",
"(U) ","in³","(U) ","cubic inch",
"(U) ","in³/h","(U) ","cubic inch per hour",
"(U) ","in³/min","(U) ","cubic inch per minute",
"(U) ","in³/s","(U) ","cubic inch per second",
"(U) ","km³","(U) ","cubic kilometre",
"(U) ","m³","(U) ","cubic metre",
"(U) ","m³/bar","(U) ","cubic metre per bar",
"(U) ","m³/C","(U) ","cubic metre per coulomb",
"(U) ","m³/m³","(U) ","cubic metre per cubic metre",
"(U) ","m³/d","(U) ","cubic metre per day",
"(U) ","m³/(d·bar)","(U) ","cubic metre per day bar",
"(U) ","m³/(d·K)","(U) ","cubic metre per day kelvin",
"(U) ","m³/h","(U) ","cubic metre per hour",
"(U) ","m³/(h·bar)","(U) ","cubic metre per hour bar",
"(U) ","m³/(h·K)","(U) ","cubic metre per hour kelvin",
"(U) ","m³/K","(U) ","cubic metre per kelvin",
"(U) ","m³/kg","(U) ","cubic metre per kilogram",
"(U) ","m³/min","(U) ","cubic metre per minute",
"(U) ","m³/(min·bar)","(U) ","cubic metre per minute bar",
"(U) ","m³/(min·K)","(U) ","cubic metre per minute kelvin",
"(U) ","m³/mol","(U) ","cubic metre per mole",
"(U) ","m³/s","(U) ","cubic metre per second",
"(U) ","m³/(s·bar)","(U) ","cubic metre per second bar",
"(U) ","m³/(s·K)","(U) ","cubic metre per second kelvin",
"(U) ","mm³","(U) ","cubic millimetre",
"(U) ","mm³/m³","(U) ","cubic millimetre per cubic metre",
"(U) ","yd³","(U) ","cubic yard",
"(U) ","yd³/d","(U) ","cubic yard per day",
"(U) ","yd³/°F","(U) ","cubic yard per degree Fahrenheit",
"(U) ","yd³/h","(U) ","cubic yard per hour",
"(U) ","yd³/min","(U) ","cubic yard per minute",
"(U) ","yd³/psi","(U) ","cubic yard per psi",
"(U) ","yd³/s","(U) ","cubic yard per second",
"(U) ","cup (US)","(U) ","cup [unit of volume]",
"(U) ","Ci","(U) ","curie",
"(U) ","Ci/kg","(U) ","curie per kilogram",
"(U) ","d","(U) ","day",
"(U) ","dag","(U) ","decagram",
