"ValueClassification","Value","DescriptionClassification","Description","DeprecationDate"
"(U) ","kam","(U) ","Kamba (Kenya)",
"(U) ","kan","(U) ","Kannada",
"(U) ","kas","(U) ","Kashmiri",
"(U) ","kar","(U) ","Karen languages",
"(U) ","kat","(U) ","Terminology applications trigraph for Georgian",
"(U) ","kau","(U) ","Kanuri",
"(U) ","kaw","(U) ","Kawi",
"(U) ","kaz","(U) ","Kazakh",
"(U) ","kbd","(U) ","Kabardian",
"(U) ","kha","(U) ","Khasi",
"(U) ","khm","(U) ","Central Khmer",
"(U) ","khi","(U) ","Khoisan languages",
"(U) ","kho","(U) ","Khotanese",
"(U) ","kik","(U) ","Kikuyu",
"(U) ","kin","(U) ","Kinyarwanda",
"(U) ","kir","(U) ","Kirghiz",
"(U) ","kmb","(U) ","Kimbundu",
"(U) ","kok","(U) ","Konkani (macrolanguage)",
"(U) ","kom","(U) ","Komi",
"(U) ","kon","(U) ","Kongo",
"(U) ","kor","(U) ","Korean",
"(U) ","kos","(U) ","Kosraean",
"(U) ","kpe","(U) ","Kpelle",
"(U) ","krc","(U) ","Karachay-Balkar",
"(U) ","krl","(U) ","Karelian",
"(U) ","kro","(U) ","Kru languages",
"(U) ","kru","(U) ","Kurukh",
"(U) ","kua","(U) ","Kuanyama",
"(U) ","kum","(U) ","Kumyk",
"(U) ","kur","(U) ","Kurdish",
"(U) ","kut","(U) ","Kutenai",
"(U) ","lad","(U) ","Ladino",
"(U) ","lah","(U) ","Lahnda",
"(U) ","lam","(U) ","Lamba",
"(U) ","lao","(U) ","Lao",
"(U) ","lat","(U) ","Latin",
"(U) ","lav","(U) ","Latvian",
"(U) ","lez","(U) ","Lezghian",
"(U) ","lim","(U) ","Limburgan",
"(U) ","lin","(U) ","Lingala",
"(U) ","lit","(U) ","Lithuanian",
"(U) ","lol","(U) ","Mongo",
"(U) ","loz","(U) ","Lozi",
"(U) ","ltz","(U) ","Luxembourgish",
"(U) ","lua","(U) ","Luba-Lulua",
"(U) ","lub","(U) ","Luba-Katanga",
"(U) ","lug","(U) ","Ganda",
"(U) ","lui","(U) ","Luiseno",
"(U) ","lun","(U) ","Lunda",
"(U) ","luo","(U) ","Luo (Kenya and Tanzania)",
"(U) ","lus","(U) ","Lushai",
"(U) ","mac","(U) ","Bibliographic applications trigraph for Macedonian",
