"ValueClassification","Value","DescriptionClassification","Description","DeprecationDate"
"(U) ","application/samlmetadata+xml","(U) ","samlmetadata+xml",
"(U) ","application/sbml+xml","(U) ","sbml+xml",
"(U) ","application/scaip+xml","(U) ","scaip+xml",
"(U) ","application/scim+json","(U) ","scim+json",
"(U) ","application/scvp-cv-request","(U) ","scvp-cv-request",
"(U) ","application/scvp-cv-response","(U) ","scvp-cv-response",
"(U) ","application/scvp-vp-request","(U) ","scvp-vp-request",
"(U) ","application/scvp-vp-response","(U) ","scvp-vp-response",
"(U) ","application/sdp","(U) ","sdp",
"(U) ","application/sep+xml","(U) ","sep+xml",
"(U) ","application/sep-exi","(U) ","sep-exi",
"(U) ","application/session-info","(U) ","session-info",
"(U) ","application/set-payment","(U) ","set-payment",
"(U) ","application/set-payment-initiation","(U) ","set-payment-initiation",
"(U) ","application/set-registration","(U) ","set-registration",
"(U) ","application/set-registration-initiation","(U) ","set-registration-initiation",
"(U) ","application/sgml-open-catalog","(U) ","sgml-open-catalog",
"(U) ","application/shf+xml","(U) ","shf+xml",
"(U) ","application/sieve","(U) ","sieve",
"(U) ","application/simple-filter+xml","(U) ","simple-filter+xml",
"(U) ","application/simple-message-summary","(U) ","simple-message-summary",
"(U) ","application/simpleSymbolContainer","(U) ","simpleSymbolContainer",
"(U) ","application/slate","(U) ","slate",
"(U) ","application/smil+xml","(U) ","smil+xml",
"(U) ","application/smpte336m","(U) ","smpte336m",
"(U) ","application/soap+fastinfoset","(U) ","soap+fastinfoset",
"(U) ","application/soap+xml","(U) ","soap+xml",
"(U) ","application/sparql-query","(U) ","sparql-query",
"(U) ","application/sparql-results+xml","(U) ","sparql-results+xml",
"(U) ","application/spirits-event+xml","(U) ","spirits-event+xml",
"(U) ","application/sql","(U) ","sql",
"(U) ","application/srgs","(U) ","srgs",
"(U) ","application/srgs+xml","(U) ","srgs+xml",
"(U) ","application/sru+xml","(U) ","sru+xml",
"(U) ","application/ssml+xml","(U) ","ssml+xml",
"(U) ","application/tamp-apex-update","(U) ","tamp-apex-update",
"(U) ","application/tamp-apex-update-confirm","(U) ","tamp-apex-update-confirm",
"(U) ","application/tamp-community-update","(U) ","tamp-community-update",
"(U) ","application/tamp-community-update-confirm","(U) ","tamp-community-update-confirm",
"(U) ","application/tamp-error","(U) ","tamp-error",
"(U) ","application/tamp-sequence-adjust","(U) ","tamp-sequence-adjust",
"(U) ","application/tamp-sequence-adjust-confirm","(U) ","tamp-sequence-adjust-confirm",
"(U) ","application/tamp-status-query","(U) ","tamp-status-query",
"(U) ","application/tamp-status-response","(U) ","tamp-status-response",
"(U) ","application/tamp-update","(U) ","tamp-update",
"(U) ","application/tamp-update-confirm","(U) ","tamp-update-confirm",
"(U) ","application/tei+xml","(U) ","tei+xml",
"(U) ","application/thraud+xml","(U) ","thraud+xml",
"(U) ","application/timestamp-query","(U) ","timestamp-query",
"(U) ","application/timestamp-reply","(U) ","timestamp-reply",
"(U) ","application/timestamped-data","(U) ","timestamped-data",
"(U) ","application/ttml+xml","(U) ","ttml+xml",
