"ValueClassification","Value","DescriptionClassification","Description","DeprecationDate"
"(U) ","akf","(U) ","Akpa",
"(U) ","akg","(U) ","Anakalangu",
"(U) ","akh","(U) ","Angal Heneng",
"(U) ","aki","(U) ","Aiome",
"(U) ","akj","(U) ","Aka-Jeru",
"(U) ","akk","(U) ","Akkadian",
"(U) ","akl","(U) ","Aklanon",
"(U) ","akm","(U) ","Aka-Bo",
"(U) ","ako","(U) ","Akurio",
"(U) ","akp","(U) ","Siwu",
"(U) ","akq","(U) ","Ak",
"(U) ","akr","(U) ","Araki",
"(U) ","aks","(U) ","Akaselem",
"(U) ","akt","(U) ","Akolet",
"(U) ","aku","(U) ","Akum",
"(U) ","akv","(U) ","Akhvakh",
"(U) ","akw","(U) ","Akwa",
"(U) ","akx","(U) ","Aka-Kede",
"(U) ","aky","(U) ","Aka-Kol",
"(U) ","akz","(U) ","Alabama",
"(U) ","ala","(U) ","Alago",
"(U) ","alc","(U) ","Qawasqar",
"(U) ","ald","(U) ","Alladian",
"(U) ","ale","(U) ","Aleut",
"(U) ","alf","(U) ","Alege",
"(U) ","alh","(U) ","Alawa",
"(U) ","ali","(U) ","Amaimon",
"(U) ","alj","(U) ","Alangan",
"(U) ","alk","(U) ","Alak",
"(U) ","all","(U) ","Allar",
"(U) ","alm","(U) ","Amblong",
"(U) ","aln","(U) ","Gheg Albanian",
"(U) ","alo","(U) ","Larike-Wakasihu",
"(U) ","alp","(U) ","Alune",
"(U) ","alq","(U) ","Algonquin",
"(U) ","alr","(U) ","Alutor",
"(U) ","als","(U) ","Tosk Albanian",
"(U) ","alt","(U) ","Southern Altai",
"(U) ","alu","(U) ","'Are'are",
"(U) ","alw","(U) ","Alaba-K’abeena",
"(U) ","alx","(U) ","Amol",
"(U) ","aly","(U) ","Alyawarr",
"(U) ","alz","(U) ","Alur",
"(U) ","ama","(U) ","Amanayé",
"(U) ","amb","(U) ","Ambo",
"(U) ","amc","(U) ","Amahuaca",
"(U) ","ame","(U) ","Yanesha'",
"(U) ","amf","(U) ","Hamer-Banna",
"(U) ","amg","(U) ","Amarag",
"(U) ","amh","(U) ","Amharic",
"(U) ","ami","(U) ","Amis",
"(U) ","amj","(U) ","Amdang",
"(U) ","amk","(U) ","Ambai",
"(U) ","aml","(U) ","War-Jaintia",
"(U) ","amm","(U) ","Ama (Papua New Guinea)",
"(U) ","amn","(U) ","Amanab",
"(U) ","amo","(U) ","Amo",
"(U) ","amp","(U) ","Alamblak",
"(U) ","amq","(U) ","Amahai",
"(U) ","amr","(U) ","Amarakaeri",
