"ValueClassification","Value","DescriptionClassification","Description","DeprecationDate"
"(U) ","TUV","(U) ","Tuvalu",
"(U) ","TWN","(U) ","Taiwan",
"(U) ","TZA","(U) ","Tanzania",
"(U) ","UGA","(U) ","Uganda",
"(U) ","UKR","(U) ","Ukraine",
"(U) ","URY","(U) ","Uruguay",
"(U) ","USA","(U) ","United States",
"(U) ","UZB","(U) ","Uzbekistan",
"(U) ","VAT","(U) ","Vatican City",
"(U) ","VCT","(U) ","Saint Vincent and the Grenadines",
"(U) ","VEN","(U) ","Venezuela",
"(U) ","VGB","(U) ","Virgin Islands, British",
"(U) ","VIR","(U) ","Virgin Islands, U.S.",
"(U) ","VNM","(U) ","Vietnam",
"(U) ","VUT","(U) ","Vanuatu",
"(U) ","WLF","(U) ","Wallis and Futuna",
"(U) ","WSM","(U) ","Samoa",
"(U) ","XAC","(U) ","Ashmore and Cartier Islands",
"(U) ","XAZ","(U) ","Entity 1",
"(U) ","XBI","(U) ","Bassas da India",
"(U) ","XBK","(U) ","Baker Island",
"(U) ","XCR","(U) ","Entity 2",
"(U) ","XCS","(U) ","Coral Sea Islands",
"(U) ","XCY","(U) ","Entity 3",
"(U) ","XEU","(U) ","Europa Island",
"(U) ","XGL","(U) ","Glorioso Islands",
"(U) ","XGZ","(U) ","Gaza Strip",
"(U) ","XHO","(U) ","Howland Island",
"(U) ","XJA","(U) ","Johnston Atoll",
"(U) ","XJM","(U) ","Jan Mayen",
"(U) ","XJN","(U) ","Juan de Nova Island",
"(U) ","XJV","(U) ","Jarvis Island",
"(U) ","XKM","(U) ","Entity 4",
"(U) ","XKN","(U) ","Entity 5",
"(U) ","XKR","(U) ","Kingman Reef",
"(U) ","XKS","(U) ","Kosovo",
"(U) ","XMW","(U) ","Midway Islands",
"(U) ","XNV","(U) ","Navassa Island",
"(U) ","XPL","(U) ","Palmyra Atoll",
"(U) ","XPR","(U) ","Paracel Islands",
"(U) ","XQZ","(U) ","Akrotiri",
"(U) ","XSP","(U) ","Spratly Islands",
"(U) ","XSV","(U) ","Svalbard",
"(U) ","XTR","(U) ","Tromelin Island",
"(U) ","XWB","(U) ","West Bank",
"(U) ","XWK","(U) ","Wake Island",
"(U) ","XXD","(U) ","Dhekelia",
"(U) ","YEM","(U) ","Yemen",
"(U) ","ZAF","(U) ","South Africa",
"(U) ","ZMB","(U) ","Zambia",
"(U) ","ZWE","(U) ","Zimbabwe",
"(U) ","GeoOrbit","(U) ","Geostationary Orbit (GEO)",
"(U) ","HeoOrbit","(U) ","Highly Elliptical Orbit (HEO)",
"(U) ","LeoOrbit","(U) ","Low Earth Orbit (LEO)",
"(U) ","MeoOrbit","(U) ","Medium Earth Orbit (MEO)",
"(U) ","UnkOrbit","(U) ","Unknown Orbit (UKO)",

